dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
brain_tumor,maxvit_t,finetuned,512,random features,240,114,RandomForestClassifier,0.799492385786802,0.782635188197949,0.835601133872248,0.784932432432432,0.971696211297575
brain_tumor,maxvit_t,finetuned,512,random features,240,124,RandomForestClassifier,0.824873096446701,0.812370586301154,0.856453243794652,0.808175675675676,0.973212679145123
cats_and_dogs,resnet18,finetuned,512,all features,,,RandomForestClassifier,0.978214438274242,0.978288633461047,0.966358284272498,0.99051724137931,0.99884485678414
cats_and_dogs,resnet18,finetuned,512,brkga features,281,,RandomForestClassifier,0.978641606151217,0.978759558198811,0.964824120603015,0.993103448275862,0.998433530906012
cats_and_dogs,resnet18,finetuned,512,random features,281,146,RandomForestClassifier,0.977146518581803,0.977267898874017,0.963552576455802,0.991379310344828,0.998318199071506
cats_and_dogs,resnet18,finetuned,512,random features,281,155,RandomForestClassifier,0.977787270397266,0.977862920391656,0.965937762825904,0.990086206896552,0.998345024672253
cats_and_dogs,resnet18,finetuned,512,random features,281,148,RandomForestClassifier,0.978641606151217,0.978741496598639,0.965604026845638,0.992241379310345,0.998524774445969
cats_and_dogs,resnet18,finetuned,512,random features,281,150,RandomForestClassifier,0.975224263135412,0.975329646958741,0.962636439966415,0.988362068965517,0.99852276708809
cats_and_dogs,resnet18,finetuned,512,random features,281,134,RandomForestClassifier,0.9754378470739,0.97562009751961,0.959949937421777,0.991810344827586,0.99809501737277
cats_and_dogs,resnet18,finetuned,512,random features,281,157,RandomForestClassifier,0.975010679196924,0.975175047740293,0.960300877559549,0.99051724137931,0.998322487517884
cats_and_dogs,resnet18,finetuned,512,random features,281,156,RandomForestClassifier,0.980136693720632,0.980174802813899,0.969633066216786,0.990948275862069,0.998376686180619
cats_and_dogs,resnet18,finetuned,512,random features,281,154,RandomForestClassifier,0.973942759504485,0.974097664543524,0.959832635983264,0.988793103448276,0.99830971342229
cats_and_dogs,resnet18,finetuned,512,random features,281,147,RandomForestClassifier,0.98035027765912,0.980433857932795,0.96767422334173,0.993534482758621,0.99886611652895
cats_and_dogs,resnet18,finetuned,512,random features,281,158,RandomForestClassifier,0.977360102520291,0.977475563110922,0.9639564124057,0.991379310344828,0.998338728867996
